"District","Party","Percentage","validVotesPercentage","Votes","Council","District"
"Aguada de Cima","PPD/PSD",40.39,42.51,710,"Águeda","Aveiro"
"Aguada de Cima","PS",33.33,35.09,586,"Águeda","Aveiro"
"Aguada de Cima","B.E.",8.25,8.68,145,"Águeda","Aveiro"
"Aguada de Cima","CDS-PP",4.04,4.25,71,"Águeda","Aveiro"
"Aguada de Cima","PAN",2.16,2.28,38,"Águeda","Aveiro"
"Aguada de Cima","PCP-PEV",1.54,1.62,27,"Águeda","Aveiro"
"Aguada de Cima","A",0.97,1.02,17,"Águeda","Aveiro"
"Aguada de Cima","R.I.R.",0.85,0.9,15,"Águeda","Aveiro"
"Aguada de Cima","IL",0.74,0.78,13,"Águeda","Aveiro"
"Aguada de Cima","CH",0.63,0.66,11,"Águeda","Aveiro"
"Aguada de Cima","L",0.46,0.48,8,"Águeda","Aveiro"
"Aguada de Cima","NC",0.34,0.36,6,"Águeda","Aveiro"
"Aguada de Cima","PTP",0.28,0.3,5,"Águeda","Aveiro"
"Aguada de Cima","PNR",0.23,0.24,4,"Águeda","Aveiro"
"Aguada de Cima","PURP",0.23,0.24,4,"Águeda","Aveiro"
"Aguada de Cima","PCTP/MRPP",0.17,0.18,3,"Águeda","Aveiro"
"Aguada de Cima","PDR",0.17,0.18,3,"Águeda","Aveiro"
"Aguada de Cima","MPT",0.11,0.12,2,"Águeda","Aveiro"
"Aguada de Cima","JPP",0.06,0.06,1,"Águeda","Aveiro"
"Aguada de Cima","PPM",0.06,0.06,1,"Águeda","Aveiro"
"Fermentelos","PPD/PSD",52.29,55.24,833,"Águeda","Aveiro"
"Fermentelos","PS",15.76,16.64,251,"Águeda","Aveiro"
"Fermentelos","CDS-PP",11.93,12.6,190,"Águeda","Aveiro"
"Fermentelos","B.E.",7.47,7.89,119,"Águeda","Aveiro"
"Fermentelos","PAN",1.76,1.86,28,"Águeda","Aveiro"
"Fermentelos","PCP-PEV",1.38,1.46,22,"Águeda","Aveiro"
"Fermentelos","IL",1.13,1.19,18,"Águeda","Aveiro"
"Fermentelos","A",0.75,0.8,12,"Águeda","Aveiro"
"Fermentelos","R.I.R.",0.5,0.53,8,"Águeda","Aveiro"
"Fermentelos","CH",0.38,0.4,6,"Águeda","Aveiro"
"Fermentelos","PCTP/MRPP",0.31,0.33,5,"Águeda","Aveiro"
"Fermentelos","L",0.19,0.2,3,"Águeda","Aveiro"
"Fermentelos","MPT",0.19,0.2,3,"Águeda","Aveiro"
"Fermentelos","NC",0.13,0.13,2,"Águeda","Aveiro"
"Fermentelos","PNR",0.13,0.13,2,"Águeda","Aveiro"
"Fermentelos","PPM",0.13,0.13,2,"Águeda","Aveiro"
"Fermentelos","PTP",0.13,0.13,2,"Águeda","Aveiro"
"Fermentelos","PDR",0.06,0.07,1,"Águeda","Aveiro"
"Fermentelos","PURP",0.06,0.07,1,"Águeda","Aveiro"
"Fermentelos","JPP",0,0,0,"Águeda","Aveiro"
"Macinhata do Vouga","PS",38.05,40.28,570,"Águeda","Aveiro"
"Macinhata do Vouga","PPD/PSD",29.77,31.52,446,"Águeda","Aveiro"
"Macinhata do Vouga","B.E.",10.01,10.6,150,"Águeda","Aveiro"
"Macinhata do Vouga","CDS-PP",5.07,5.37,76,"Águeda","Aveiro"
"Macinhata do Vouga","PCP-PEV",3.2,3.39,48,"Águeda","Aveiro"
"Macinhata do Vouga","PAN",2.4,2.54,36,"Águeda","Aveiro"
"Macinhata do Vouga","CH",1.07,1.13,16,"Águeda","Aveiro"
"Macinhata do Vouga","L",0.67,0.71,10,"Águeda","Aveiro"
"Macinhata do Vouga","PCTP/MRPP",0.67,0.71,10,"Águeda","Aveiro"
"Macinhata do Vouga","IL",0.6,0.64,9,"Águeda","Aveiro"
"Macinhata do Vouga","PTP",0.6,0.64,9,"Águeda","Aveiro"
"Macinhata do Vouga","PNR",0.53,0.57,8,"Águeda","Aveiro"
"Macinhata do Vouga","A",0.4,0.42,6,"Águeda","Aveiro"
"Macinhata do Vouga","PDR",0.4,0.42,6,"Águeda","Aveiro"
"Macinhata do Vouga","MPT",0.33,0.35,5,"Águeda","Aveiro"
"Macinhata do Vouga","R.I.R.",0.27,0.28,4,"Águeda","Aveiro"
"Macinhata do Vouga","PPM",0.13,0.14,2,"Águeda","Aveiro"
"Macinhata do Vouga","PURP",0.13,0.14,2,"Águeda","Aveiro"
"Macinhata do Vouga","JPP",0.07,0.07,1,"Águeda","Aveiro"
"Macinhata do Vouga","NC",0.07,0.07,1,"Águeda","Aveiro"
"Valongo do Vouga","PS",42.42,44.93,949,"Águeda","Aveiro"
"Valongo do Vouga","PPD/PSD",26.42,27.98,591,"Águeda","Aveiro"
"Valongo do Vouga","B.E.",9.66,10.23,216,"Águeda","Aveiro"
"Valongo do Vouga","PCP-PEV",4.96,5.26,111,"Águeda","Aveiro"
"Valongo do Vouga","CDS-PP",4.07,4.31,91,"Águeda","Aveiro"
"Valongo do Vouga","PAN",2.28,2.41,51,"Águeda","Aveiro"
"Valongo do Vouga","PCTP/MRPP",0.72,0.76,16,"Águeda","Aveiro"
"Valongo do Vouga","CH",0.67,0.71,15,"Águeda","Aveiro"
"Valongo do Vouga","IL",0.58,0.62,13,"Águeda","Aveiro"
"Valongo do Vouga","L",0.54,0.57,12,"Águeda","Aveiro"
"Valongo do Vouga","A",0.45,0.47,10,"Águeda","Aveiro"
"Valongo do Vouga","R.I.R.",0.4,0.43,9,"Águeda","Aveiro"
"Valongo do Vouga","PURP",0.27,0.28,6,"Águeda","Aveiro"
"Valongo do Vouga","MPT",0.22,0.24,5,"Águeda","Aveiro"
"Valongo do Vouga","NC",0.22,0.24,5,"Águeda","Aveiro"
"Valongo do Vouga","PNR",0.18,0.19,4,"Águeda","Aveiro"
"Valongo do Vouga","JPP",0.13,0.14,3,"Águeda","Aveiro"
"Valongo do Vouga","PDR",0.09,0.09,2,"Águeda","Aveiro"
"Valongo do Vouga","PTP",0.09,0.09,2,"Águeda","Aveiro"
"Valongo do Vouga","PPM",0.04,0.05,1,"Águeda","Aveiro"
"Águeda e Borralha","PS",37.73,39.62,2461,"Águeda","Aveiro"
"Águeda e Borralha","PPD/PSD",33.3,34.97,2172,"Águeda","Aveiro"
"Águeda e Borralha","B.E.",9.21,9.68,601,"Águeda","Aveiro"
"Águeda e Borralha","CDS-PP",4.42,4.64,288,"Águeda","Aveiro"
"Águeda e Borralha","PCP-PEV",3.07,3.22,200,"Águeda","Aveiro"
"Águeda e Borralha","PAN",2.39,2.51,156,"Águeda","Aveiro"
"Águeda e Borralha","IL",0.9,0.95,59,"Águeda","Aveiro"
"Águeda e Borralha","CH",0.86,0.9,56,"Águeda","Aveiro"
"Águeda e Borralha","L",0.64,0.68,42,"Águeda","Aveiro"
"Águeda e Borralha","R.I.R.",0.54,0.56,35,"Águeda","Aveiro"
"Águeda e Borralha","A",0.51,0.53,33,"Águeda","Aveiro"
"Águeda e Borralha","PCTP/MRPP",0.46,0.48,30,"Águeda","Aveiro"
"Águeda e Borralha","PURP",0.21,0.23,14,"Águeda","Aveiro"
"Águeda e Borralha","NC",0.2,0.21,13,"Águeda","Aveiro"
"Águeda e Borralha","PDR",0.18,0.19,12,"Águeda","Aveiro"
"Águeda e Borralha","PNR",0.17,0.18,11,"Águeda","Aveiro"
"Águeda e Borralha","MPT",0.14,0.14,9,"Águeda","Aveiro"
"Águeda e Borralha","PTP",0.14,0.14,9,"Águeda","Aveiro"
"Águeda e Borralha","JPP",0.08,0.08,5,"Águeda","Aveiro"
"Águeda e Borralha","PPM",0.08,0.08,5,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","PPD/PSD",39.41,41.86,584,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","PS",34.21,36.34,507,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","B.E.",7.49,7.96,111,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","CDS-PP",4.93,5.23,73,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","PCP-PEV",1.69,1.79,25,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","PAN",1.62,1.72,24,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","CH",1.01,1.08,15,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","A",0.74,0.79,11,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","IL",0.54,0.57,8,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","L",0.4,0.43,6,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","PCTP/MRPP",0.34,0.36,5,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","PDR",0.34,0.36,5,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","PURP",0.34,0.36,5,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","R.I.R.",0.34,0.36,5,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","MPT",0.27,0.29,4,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","NC",0.27,0.29,4,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","PTP",0.13,0.14,2,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","JPP",0.07,0.07,1,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","PNR",0,0,0,"Águeda","Aveiro"
"Barrô e Aguada de Baixo","PPM",0,0,0,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","PPD/PSD",41.41,43.92,318,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","PS",31.38,33.29,241,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","B.E.",7.68,8.15,59,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","CDS-PP",6.77,7.18,52,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","PAN",2.08,2.21,16,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","PCP-PEV",1.43,1.52,11,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","R.I.R.",0.91,0.97,7,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","CH",0.78,0.83,6,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","A",0.26,0.28,2,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","JPP",0.26,0.28,2,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","NC",0.26,0.28,2,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","PCTP/MRPP",0.26,0.28,2,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","IL",0.13,0.14,1,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","MPT",0.13,0.14,1,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","PDR",0.13,0.14,1,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","PPM",0.13,0.14,1,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","PTP",0.13,0.14,1,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","PURP",0.13,0.14,1,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","L",0,0,0,"Águeda","Aveiro"
"Belazaima do Chão, Castanheira do Vouga e Agadão","PNR",0,0,0,"Águeda","Aveiro"
"Recardães e Espinhel","PS",39.28,41.91,1165,"Águeda","Aveiro"
"Recardães e Espinhel","PPD/PSD",29.4,31.37,872,"Águeda","Aveiro"
"Recardães e Espinhel","B.E.",10.62,11.33,315,"Águeda","Aveiro"
"Recardães e Espinhel","CDS-PP",4.15,4.42,123,"Águeda","Aveiro"
"Recardães e Espinhel","PCP-PEV",2.9,3.09,86,"Águeda","Aveiro"
"Recardães e Espinhel","PAN",2.29,2.45,68,"Águeda","Aveiro"
"Recardães e Espinhel","CH",0.78,0.83,23,"Águeda","Aveiro"
"Recardães e Espinhel","PCTP/MRPP",0.71,0.76,21,"Águeda","Aveiro"
"Recardães e Espinhel","R.I.R.",0.64,0.68,19,"Águeda","Aveiro"
"Recardães e Espinhel","A",0.57,0.61,17,"Águeda","Aveiro"
"Recardães e Espinhel","L",0.51,0.54,15,"Águeda","Aveiro"
"Recardães e Espinhel","IL",0.47,0.5,14,"Águeda","Aveiro"
"Recardães e Espinhel","MPT",0.34,0.36,10,"Águeda","Aveiro"
"Recardães e Espinhel","PTP",0.34,0.36,10,"Águeda","Aveiro"
"Recardães e Espinhel","JPP",0.17,0.18,5,"Águeda","Aveiro"
"Recardães e Espinhel","PDR",0.17,0.18,5,"Águeda","Aveiro"
"Recardães e Espinhel","NC",0.13,0.14,4,"Águeda","Aveiro"
"Recardães e Espinhel","PURP",0.13,0.14,4,"Águeda","Aveiro"
"Recardães e Espinhel","PNR",0.1,0.11,3,"Águeda","Aveiro"
"Recardães e Espinhel","PPM",0.03,0.04,1,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","PS",37.74,39.65,477,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","PPD/PSD",31.8,33.42,402,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","CDS-PP",8.31,8.73,105,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","B.E.",7.44,7.81,94,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","PAN",2.37,2.49,30,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","PCP-PEV",1.82,1.91,23,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","CH",1.11,1.16,14,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","IL",1.03,1.08,13,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","PCTP/MRPP",0.79,0.83,10,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","R.I.R.",0.79,0.83,10,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","A",0.47,0.5,6,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","L",0.47,0.5,6,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","PNR",0.4,0.42,5,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","PTP",0.24,0.25,3,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","MPT",0.16,0.17,2,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","PDR",0.16,0.17,2,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","PURP",0.08,0.08,1,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","JPP",0,0,0,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","NC",0,0,0,"Águeda","Aveiro"
"Travassô e Óis da Ribeira","PPM",0,0,0,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","PS",38.21,39.91,860,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","PPD/PSD",31.1,32.48,700,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","B.E.",9.46,9.88,213,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","CDS-PP",6.18,6.45,139,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","PCP-PEV",4.09,4.27,92,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","PAN",1.64,1.72,37,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","A",0.76,0.79,17,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","CH",0.71,0.74,16,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","L",0.71,0.74,16,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","PCTP/MRPP",0.71,0.74,16,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","IL",0.67,0.7,15,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","R.I.R.",0.53,0.56,12,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","JPP",0.18,0.19,4,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","MPT",0.18,0.19,4,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","PDR",0.18,0.19,4,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","PNR",0.13,0.14,3,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","PTP",0.13,0.14,3,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","PURP",0.13,0.14,3,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","NC",0.04,0.05,1,"Águeda","Aveiro"
"Trofa, Segadães e Lamas do Vouga","PPM",0,0,0,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","PS",34.8,36.41,142,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","PPD/PSD",30.88,32.31,126,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","B.E.",11.03,11.54,45,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","CDS-PP",10.78,11.28,44,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","PCP-PEV",3.19,3.33,13,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","PAN",1.23,1.28,5,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","L",0.74,0.77,3,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","PTP",0.74,0.77,3,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","A",0.49,0.51,2,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","IL",0.25,0.26,1,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","JPP",0.25,0.26,1,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","NC",0.25,0.26,1,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","PCTP/MRPP",0.25,0.26,1,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","PDR",0.25,0.26,1,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","PNR",0.25,0.26,1,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","PURP",0.25,0.26,1,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","CH",0,0,0,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","MPT",0,0,0,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","PPM",0,0,0,"Águeda","Aveiro"
"Préstimo e Macieira de Alcoba","R.I.R.",0,0,0,"Águeda","Aveiro"
"Alquerubim","PS",38.11,40.37,396,"Albergaria-a-Velha","Aveiro"
"Alquerubim","PPD/PSD",30.51,32.31,317,"Albergaria-a-Velha","Aveiro"
"Alquerubim","CDS-PP",9.72,10.3,101,"Albergaria-a-Velha","Aveiro"
"Alquerubim","B.E.",7.31,7.75,76,"Albergaria-a-Velha","Aveiro"
"Alquerubim","PAN",2.6,2.75,27,"Albergaria-a-Velha","Aveiro"
"Alquerubim","CH",1.44,1.53,15,"Albergaria-a-Velha","Aveiro"
"Alquerubim","PCP-PEV",1.06,1.12,11,"Albergaria-a-Velha","Aveiro"
"Alquerubim","PCTP/MRPP",0.67,0.71,7,"Albergaria-a-Velha","Aveiro"
"Alquerubim","R.I.R.",0.58,0.61,6,"Albergaria-a-Velha","Aveiro"
"Alquerubim","A",0.48,0.51,5,"Albergaria-a-Velha","Aveiro"
"Alquerubim","L",0.48,0.51,5,"Albergaria-a-Velha","Aveiro"
"Alquerubim","IL",0.38,0.41,4,"Albergaria-a-Velha","Aveiro"
"Alquerubim","JPP",0.19,0.2,2,"Albergaria-a-Velha","Aveiro"
"Alquerubim","MPT",0.19,0.2,2,"Albergaria-a-Velha","Aveiro"
"Alquerubim","NC",0.19,0.2,2,"Albergaria-a-Velha","Aveiro"
"Alquerubim","PDR",0.19,0.2,2,"Albergaria-a-Velha","Aveiro"
"Alquerubim","PNR",0.19,0.2,2,"Albergaria-a-Velha","Aveiro"
"Alquerubim","PURP",0.1,0.1,1,"Albergaria-a-Velha","Aveiro"
"Alquerubim","PPM",0,0,0,"Albergaria-a-Velha","Aveiro"
"Alquerubim","PTP",0,0,0,"Albergaria-a-Velha","Aveiro"
"Angeja","PS",38.87,41.15,386,"Albergaria-a-Velha","Aveiro"
"Angeja","PPD/PSD",25.18,26.65,250,"Albergaria-a-Velha","Aveiro"
"Angeja","CDS-PP",9.87,10.45,98,"Albergaria-a-Velha","Aveiro"
"Angeja","B.E.",9.57,10.13,95,"Albergaria-a-Velha","Aveiro"
"Angeja","PCP-PEV",5.04,5.33,50,"Albergaria-a-Velha","Aveiro"
"Angeja","PAN",2.52,2.67,25,"Albergaria-a-Velha","Aveiro"
"Angeja","PCTP/MRPP",0.7,0.75,7,"Albergaria-a-Velha","Aveiro"
"Angeja","CH",0.6,0.64,6,"Albergaria-a-Velha","Aveiro"
"Angeja","A",0.4,0.43,4,"Albergaria-a-Velha","Aveiro"
"Angeja","PDR",0.3,0.32,3,"Albergaria-a-Velha","Aveiro"
"Angeja","PURP",0.3,0.32,3,"Albergaria-a-Velha","Aveiro"
"Angeja","R.I.R.",0.3,0.32,3,"Albergaria-a-Velha","Aveiro"
"Angeja","IL",0.2,0.21,2,"Albergaria-a-Velha","Aveiro"
"Angeja","L",0.2,0.21,2,"Albergaria-a-Velha","Aveiro"
"Angeja","PNR",0.2,0.21,2,"Albergaria-a-Velha","Aveiro"
"Angeja","NC",0.1,0.11,1,"Albergaria-a-Velha","Aveiro"
"Angeja","PPM",0.1,0.11,1,"Albergaria-a-Velha","Aveiro"
"Angeja","JPP",0,0,0,"Albergaria-a-Velha","Aveiro"
"Angeja","MPT",0,0,0,"Albergaria-a-Velha","Aveiro"
"Angeja","PTP",0,0,0,"Albergaria-a-Velha","Aveiro"
"Branca","PPD/PSD",34.94,36.29,941,"Albergaria-a-Velha","Aveiro"
"Branca","PS",31.19,32.39,840,"Albergaria-a-Velha","Aveiro"
"Branca","CDS-PP",13.11,13.61,353,"Albergaria-a-Velha","Aveiro"
"Branca","B.E.",7.65,7.94,206,"Albergaria-a-Velha","Aveiro"
"Branca","PCP-PEV",2.27,2.35,61,"Albergaria-a-Velha","Aveiro"
"Branca","PAN",2.12,2.2,57,"Albergaria-a-Velha","Aveiro"
"Branca","CH",0.85,0.89,23,"Albergaria-a-Velha","Aveiro"
"Branca","IL",0.71,0.73,19,"Albergaria-a-Velha","Aveiro"
"Branca","L",0.63,0.66,17,"Albergaria-a-Velha","Aveiro"
"Branca","R.I.R.",0.63,0.66,17,"Albergaria-a-Velha","Aveiro"
"Branca","PCTP/MRPP",0.59,0.62,16,"Albergaria-a-Velha","Aveiro"
"Branca","A",0.45,0.46,12,"Albergaria-a-Velha","Aveiro"
"Branca","JPP",0.26,0.27,7,"Albergaria-a-Velha","Aveiro"
"Branca","PDR",0.19,0.19,5,"Albergaria-a-Velha","Aveiro"
"Branca","PURP",0.19,0.19,5,"Albergaria-a-Velha","Aveiro"
"Branca","MPT",0.11,0.12,3,"Albergaria-a-Velha","Aveiro"
"Branca","PNR",0.11,0.12,3,"Albergaria-a-Velha","Aveiro"
"Branca","PPM",0.11,0.12,3,"Albergaria-a-Velha","Aveiro"
"Branca","PTP",0.11,0.12,3,"Albergaria-a-Velha","Aveiro"
"Branca","NC",0.07,0.08,2,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","PPD/PSD",29.97,31.73,264,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","PS",28.6,30.29,252,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","CDS-PP",17.82,18.87,157,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","B.E.",8.06,8.53,71,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","PCP-PEV",2.5,2.64,22,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","PAN",1.93,2.04,17,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","R.I.R.",1.14,1.2,10,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","CH",0.79,0.84,7,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","IL",0.79,0.84,7,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","L",0.57,0.6,5,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","PCTP/MRPP",0.45,0.48,4,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","PDR",0.45,0.48,4,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","A",0.34,0.36,3,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","MPT",0.34,0.36,3,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","PTP",0.34,0.36,3,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","NC",0.11,0.12,1,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","PPM",0.11,0.12,1,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","PURP",0.11,0.12,1,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","JPP",0,0,0,"Albergaria-a-Velha","Aveiro"
"Ribeira de Fráguas","PNR",0,0,0,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","PPD/PSD",33.17,34.77,1667,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","PS",28.87,30.26,1451,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","CDS-PP",11.08,11.62,557,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","B.E.",10.07,10.55,506,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","PAN",3.7,3.88,186,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","PCP-PEV",2.69,2.82,135,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","IL",0.94,0.98,47,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","CH",0.9,0.94,45,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","L",0.66,0.69,33,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","R.I.R.",0.66,0.69,33,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","A",0.54,0.56,27,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","PCTP/MRPP",0.42,0.44,21,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","PDR",0.32,0.33,16,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","PTP",0.32,0.33,16,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","PNR",0.26,0.27,13,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","MPT",0.24,0.25,12,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","NC",0.24,0.25,12,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","PURP",0.18,0.19,9,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","JPP",0.1,0.1,5,"Albergaria-a-Velha","Aveiro"
"Albergaria-a-Velha e Valmaior","PPM",0.08,0.08,4,"Albergaria-a-Velha","Aveiro"
"São João de Loure e Frossos","PPD/PSD",34.9,36.74,511,"Albergaria-a-Velha","Aveiro"
"São João de Loure e Frossos","PS",28.89,30.41,423,"Albergaria-a-Velha","Aveiro"
"São João de Loure e Frossos","CDS-PP",11.95,12.58,175,"Albergaria-a-Velha","Aveiro"
"São João de Loure e Frossos","B.E.",9.77,10.28,143,"Albergaria-a-Velha","Aveiro"
